ID,SMILES
ADN,*[C]1O[C](*)[C](O)[C]1O
ADN,*[C]1O[C](CO)[C](O)[C]1O
ADN,*CO
ADN,*n1cnc2c(N)ncnc21
ADN,*[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*[C]1O[C](*)[C](O)[C]1O
ADP,*OP(=O)(O)OC[C]1O[C](*)[C](O)[C]1O
ADP,*COP(=O)(O)O*
ADP,*OC[C]1O[C](*)[C](O)[C]1O
ADP,*n1cnc2c(N)ncnc21
ADP,*C*
ADP,*P(*)(=O)O
ADP,*[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*P(=O)(O)OP(=O)(O)O
ADP,*OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*COP(*)(=O)O
ADP,*OP(*)(=O)O
ADP,*COP(=O)(O)OP(=O)(O)O
ADP,*C[C]1O[C](*)[C](O)[C]1O
ADP,*OP(=O)(O)O
ADP,*OP(=O)(O)OP(=O)(O)O
ADP,*O*
ADP,*[C]1O[C](COP(*)(=O)O)[C](O)[C]1O
ADP,*P(=O)(O)O
ADP,*OP(=O)(O)O*
ADP,*[C]1O[C](COP(=O)(O)OP(=O)(O)O)[C](O)[C]1O
ADP,*OP(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*C[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*P(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1O
ADP,*CO*
AKN,*C*
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O*)[C](O)[C]1O*
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](*)O)C[C](N)[C](O[C]3O[C](CN)[C](O)[C](O)[C]3O)[C]2O)[C](O)[C](N)[C]1O
AKN,*[C]1O[C](O[C]2[C](NC(=O)[C](*)O)C[C](N)[C](*)[C]2O)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](*)[C](O)[C]1O*
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*O[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*[C]1[C](NC(=O)[C](O)CCN)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*[C]1O[C](*)[C](O)[C](N)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](*)[C](O)[C]1*
AKN,*CCN
AKN,*O[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](O[C]2O[C](*)[C](O)[C](N)[C]2O)[C]1O
AKN,*NC(=O)[C](*)O
AKN,*[C]1O[C](O[C]2[C](N)C[C](NC(=O)[C](*)O)[C](O[C]3O[C](CO)[C](O)[C](N)[C]3O)[C]2O)[C](O)[C](O)[C]1O
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](NC(=O)[C](*)O)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1*
AKN,*O[C]1[C](*)C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C]1O
AKN,*O[C]1[C](*)C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C]1O
AKN,*N[C]1C[C](N)[C](*)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*O[C]1[C](N)C[C](NC(=O)[C](O)CCN)[C](O[C]2O[C](CO)[C](O)[C](N)[C]2O)[C]1O
AKN,*N[C]1C[C](N)[C](O[C]2O[C](*)[C](O)[C](O)[C]2O)[C](O)[C]1O[C]1O[C](CO)[C](O)[C](N)[C]1O
AKN,*C(=O)[C](O)CCN
AKN,*C[C](O)C(=O)N[C]1C[C](N)[C](O[C]2O[C](CN)[C](O)[C](O)[C]2O)[C](O)[C]1*
